交易日期,代码,名称,涨幅%,现价,涨跌,买价,卖价,总量,现量,涨速%,换手%,今开,最高,最低,昨收,市盈(动),总金额,量比,细分行业,地区,振幅%,均价,内盘,外盘,内外比,买量,卖量,未匹配量,开盘金额,开盘换手Z,封成比,封单额,流通股(亿),流通市值,AB股总市值,强弱度%,活跃度,笔均量,笔换手,连涨天,3日涨幅%,20日涨幅%,60日涨幅%,年初至今%,换手Z,流通市值Z,市盈(TTM),市盈(静),贝塔系数,短期形态,中期形态,长期形态,开盘%,最高%,最低%,均涨幅%,实体涨幅%,回头波%,攻击波%,现均差%,财务更新,上市日期,总股本(亿),B/A股(亿),H股(亿),总资产(亿),净资产(亿),少数股权(亿),资产负债率%,流动资产(亿),固定资产(亿),无形资产(亿),流动负债(亿),存货(亿),应收帐款(亿),资本公积金(亿),营业收入(亿),营业成本(亿),营业利润(亿),投资收益(亿),利润总额(亿),税后利润(亿),净利润(亿),扣非净利润(亿),未分利润(亿),经营现金流(亿),总现金流(亿),股东人数,人均持股,人均市值,利润同比%,收入同比%,市净率,市现率,市销率,股息率%,每股收益,每股净资,调整后净资,每股公积,每股未分配,每股现金流,权益比%,净益率%,毛利率%,营业利润率%,净利润率%,研发费用(亿),员工人数,交易代码,自选日,自选价,自选收益%
20200117,000001,平安银行,0.37,16.39,0.06,16.39,16.4,605437,7148,-0.05,0.31,16.38,16.55,16.35,16.33,10.1,995908992,0.65,银行,深圳,1.22,16.45,322584,282853,1.14,1656,2567,0,6176900,0,0,0,194.06,3180.6,3180.63,0.49,4268,142,0.0001,1,-2.2,-0.97,-2.85,-0.36,0.74,1337.53,11.37,12.82,0.91,0,0,0,0.31,1.35,0.12,0.73,0.06,-0.97,0.24,-0.36,20191022,19910403,194.06,0,0,37076.83,2880.73,0,92.23,0,105.87,45.73,0,0,0,808.16,1029.58,0,307.13,77.17,306.76,236.21,236.21,235.27,1152.93,844.8,-48.56,299958,27206,44.59,15.47,18.8,1.19,3.76,3.09,0.78,1.32,13.82,13.82,4.16,5.94,4.35,7.77,8.2,0,29.83,22.94,0,33529,1,0,0,0
20200117,000002,万 科Ａ,-0.23,30.46,-0.07,30.45,30.46,472219,6166,0.23,0.49,30.62,30.85,30.32,30.53,14.15,1442665856,0.83,全国地产,深圳,1.74,30.55,216556,255663,0.85,309,98,0,8592000,0.01,0,0,97.15,2959.24,2961.99,-0.11,4520,104,0.0001,-1,-2.97,-1.84,14.25,-5.34,0.88,1629.46,9.05,10.19,0.59,0,0,0,0.29,1.05,-0.69,0.07,-0.52,-1.26,0.46,-0.3,20191025,19910129,113.02,0,15.78,16387.63,1672.74,775.78,85.06,13581.85,124.12,47.98,12022.99,8598.51,19.31,119.31,2239.15,1433.27,419.61,19.33,418.25,285.9,182.41,181.76,981.54,17.34,-801.63,290546,18412,56.08,30.43,27.21,2.06,198.49,1.54,3.43,1.63,14.8,0,1.06,8.68,0.15,10.21,10.9,35.99,18.74,8.15,5.37,104300,2,0,0,0
20200117,000004,国农科技,-0.98,22.24,-0.22,22.2,22.24,10451,158,0.18,1.27,22.3,22.6,22.18,22.46,0,23375136,0.52,生物制药,深圳,1.87,22.37,6607,3844,1.72,21,13,0,107000,0.01,0,0,0.83,18.37,18.68,-0.86,490,21,0.0026,-4,-3.31,1.74,19.57,-1.55,2.13,10.92,0,0,1.04,0,0,0,-0.71,0.62,-1.25,-0.42,-0.27,-1.59,0.27,-0.56,20191031,19910114,0.84,0,0,1.3,0.99,0.18,9.53,0.91,0.01,0,0.12,0,0.19,0.01,1.08,0.26,-0.05,0.11,-0.06,-0.13,-0.1,-0.2,0.03,-0.1,-0.28,10321,4759,10.58,-283.56,-57.77,18.81,-189.29,17.26,0,-0.118,1.18,0,0.01,0.04,-0.12,76.39,-10.01,75.51,-4.3,-9.19,0.03,210,4,0,0,0
20200117,000005,世纪星源,0,3.13,0,3.12,3.13,54023,758,0.32,0.51,3.14,3.16,3.11,3.13,55.78,16911238,0.54,环境保护,深圳,1.6,3.13,38233,15790,2.42,2951,2843,0,16300,0,0,0,10.58,33.11,33.13,0.12,782,69,0.0007,0,-2.19,-0.63,-0.95,1.29,0.65,25.85,17.73,22.26,1.09,0,0,0,0.32,0.96,-0.64,0.01,-0.32,-0.95,0.64,-0.01,20200108,19901210,10.59,0,0,30.64,15.37,0.93,46.82,18.24,0.3,0.66,14.27,4.7,3.81,6.88,5.69,3.77,0.69,-0.17,0.72,0.47,0.45,-0.53,-2.52,1.28,-0.02,124942,6609,2.07,582.03,48.69,2.16,25.85,5.82,0,0.042,1.45,0,0.65,-0.24,0.12,50.15,2.9,33.76,12.15,7.82,0.17,745,5,0,0,0
20200117,000006,深振业Ａ,-0.74,5.35,-0.04,5.35,5.36,49450,507,0,0.37,5.41,5.42,5.34,5.39,11.99,26615852,0.47,区域地产,深圳,1.48,5.38,30314,19136,1.58,332,564,0,24300,0,0,0,13.48,72.13,72.22,-0.62,1541,32,0.0002,-4,-2.73,-0.93,5.11,-0.19,0.57,46.13,8.78,8.26,0.71,0,0,0,0.37,0.56,-0.93,-0.14,-1.11,-1.29,0.19,-0.6,20191030,19920427,13.5,0,0,154.89,63.86,3.23,56.69,122.35,0.13,0,56.61,71.1,0.07,4.84,19.63,11.62,5.97,0.77,5.91,4.62,4.52,4.52,30.68,4.75,5.42,68117,12659,6.77,-10.21,23.19,1.13,15.22,3.68,3.64,0.335,4.73,0,0.36,2.27,0.35,41.23,7.08,40.84,30.41,23.01,0,377,6,0,0,0
20200117,000007,全新好,1.29,9.44,0.12,9.43,9.44,68332,692,0.21,2.21,9.36,9.64,9.36,9.32,0,64991872,1.8,酒店餐饮,深圳,3,9.51,29168,39164,0.74,471,30,0,23400,0,0,0,3.09,29.16,32.7,1.41,1380,50,0.0016,2,1.19,-5.13,5.71,-0.63,3.32,19.41,0,0,0.23,0,0,0,0.43,3.43,0.43,2.05,0.85,-2.07,0.85,-0.76,20191119,19920413,3.46,0,0,3.57,1.81,0.03,48.26,0.99,0.64,0,0.41,0,0,1.57,0.31,0.1,0.18,-0.06,-0.04,-0.09,-0.09,0.08,-3.31,-0.22,0.04,20417,10071,9.51,-7.5,-3.68,18.03,-151.89,105.25,0,-0.027,0.52,0,0.45,-0.96,-0.06,50.77,-5.13,69.34,57.49,-29.96,0,84,7,0,0,0
20200117,000008,神州高铁,-0.83,3.58,-0.03,3.58,3.59,239404,4308,-0.27,0.9,3.6,3.64,3.58,3.61,50.3,86180832,0.81,运输设备,北京,1.66,3.6,108806,130598,0.83,9295,3590,0,817200,0.01,0,0,26.65,95.42,99.55,-0.71,2579,93,0.0003,-3,-5.29,-3.5,1.42,-1.38,1.37,62.71,28.45,30.63,0.81,0,0,0,-0.28,0.83,-0.83,-0.28,-0.56,-1.65,0,-0.55,20200114,19920507,27.81,0,0,106,72.06,0.95,31.12,55.72,4.02,2.45,30.02,8.69,30.62,27.71,15.6,7.28,1.96,0.05,2.02,1.58,1.48,1.27,17.9,-1.91,-5.82,102362,17112,6.13,20.13,20.98,1.38,-52.06,6.38,0.28,0.053,2.59,0,1,0.64,-0.07,67.98,2.06,53.3,12.56,9.51,1.51,2631,8,0,0,0
20200117,000009,中国宝安,0,6.42,0,6.42,6.43,718771,5121,0.16,2.83,6.46,6.56,6.39,6.42,61.88,464499328,0.58,综合类,深圳,2.65,6.46,328924,389847,0.84,4971,943,0,857200,0.01,0,0,25.44,163.31,165.59,0.12,3912,184,0.0007,0,-4.89,33.47,35.44,3.72,3.43,134.36,52.42,77.46,1.16,0,0,0,0.62,2.18,-0.47,0.66,-0.62,-2.13,0.47,-0.66,20200110,19910625,25.79,0,0,304.88,53.89,52.19,65.2,202.4,42.26,10.9,128.26,95.54,22.74,4.04,87.56,56.05,8.68,-0.86,8.79,5.74,2.01,1.63,21.36,13.91,2.7,164530,12720,8.17,103.52,31.68,3.07,11.9,1.89,0.26,0.078,2.09,0,0.16,0.83,0.54,17.68,3.72,35.98,9.91,2.29,2.71,13620,9,0,0,0
20200117,000010,*ST美丽,-1.61,3.66,-0.06,3.66,3.67,32039,268,0.55,0.61,3.72,3.78,3.64,3.72,51.54,11841491,0.45,建筑工程,深圳,3.76,3.7,20318,11721,1.73,150,30,0,12300,0,0,0,5.22,19.11,30.01,-1.49,444,72,0.0014,-1,1.95,6.4,1.95,7.65,0.65,17.96,0,0,0.56,0,0,0,0,1.61,-2.15,-0.65,-1.61,-3.17,0.55,-0.97,20191119,19951027,8.2,0,0,42.63,4.41,2.81,83.06,35.59,0.65,0.1,34.65,16.15,10.74,14.74,10.83,8.19,1.65,0.28,1.64,1.11,0.44,0.16,-18.61,-0.95,0.31,34263,14322,5.24,122.75,478.32,6.8,-31.5,2.77,0,0.053,0.54,0,1.8,-2.27,-0.12,10.35,9.89,24.4,15.23,4.03,0.01,545,10,0,0,0
20200117,000011,深物业A,-0.65,9.16,-0.06,9.15,9.16,16095,338,-0.21,0.31,9.28,9.31,9.16,9.22,39.73,14825171,0.72,区域地产,深圳,1.63,9.21,11010,5085,2.17,308,82,0,6500,0,0,0,5.26,48.22,54.59,-0.53,701,23,0.0004,-4,-2.85,-3.58,-3.17,-2.66,1.1,13.38,9.9,9.21,0.87,0,0,0,0.65,0.98,-0.65,-0.1,-1.29,-1.61,0,-0.55,20191031,19920330,5.96,0.68,0,104.84,32.61,1.33,67.63,94.01,0.5,0,48.43,40.91,1.06,1.19,10.02,5.32,1.06,0.02,1.07,0.46,1.03,1.03,22.5,5.34,1.37,41305,5173,4.74,-28.52,-16.43,1.67,10.22,5.45,3.28,0.173,5.47,0,0.2,3.77,0.9,31.11,3.16,46.89,10.61,10.29,0,5504,11,0,0,0
