代码,细分行业,财报年度,财务更新,上市日期,总股本(亿),B/A股(亿),H股(亿),总资产(亿),净资产(亿),少数股权(亿),资产负债率%,流动资产(亿),固定资产(亿),无形资产(亿),流动负债(亿),存货(亿),应收帐款(亿),资本公积金(亿),营业收入(亿),营业成本(亿),营业利润(亿),投资收益(亿),利润总额(亿),税后利润(亿),净利润(亿),扣非净利润(亿),未分利润(亿),经营现金流(亿),总现金流(亿),股东人数,人均持股,人均市值,利润同比%,收入同比%,市净率,市现率,市销率,股息率%,每股收益,每股净资,调整后净资,每股公积,每股未分配,每股现金流,权益比%,净益率%,毛利率%,营业利润率%,净利润率%,研发费用(亿),员工人数
000400,电气设备,2019Q3,20191012,19970418,10.08,0,0,145.97,79.69,6.16,41.19,122.99,11.48,5.23,59.84,30.43,71.42,8.3,52.38,42.55,3.76,-0.02,3.75,3.1,2.66,2.54,56.12,0.26,-1.25,65353,9058,10.49,71.45,25.93,1.47,451.34,2.23,0.4,0.264,7.9,0,0.82,5.57,0.03,54.6,3.34,18.76,7.17,5.09,1.74,5422
603798,石油加工,2019Q3,20191016,20160406,2,0,0,10.92,9.25,-0.02,15.51,6.71,3.35,0.51,1.48,1.12,0.38,2.62,7.47,4.98,0.97,0.02,0.97,0.81,0.81,0.77,4.13,0.6,0.19,11841,5329,6.11,27.06,13.28,2.48,38.34,3.07,0.98,0.43,4.63,0,1.31,2.07,0.3,84.69,8.77,33.42,12.93,10.85,0.21,309
002846,广告包装,2019Q3,20191017,20170207,1.95,0,0,13.03,6.36,0.46,47.68,5.84,3.73,0.87,4.98,2.33,2.22,2.17,8.39,6.52,0.81,0,0.81,0.67,0.65,0.64,2.2,1.13,0.02,16595,3190,6.7,162.51,64.26,6.43,36.21,4.87,0.24,0.334,3.27,0,1.11,1.13,0.58,48.79,10.22,22.34,9.69,7.74,0.23,1063
002462,医药商业,2019Q3,20191017,20100818,2.92,0,0,123.48,33.41,14.79,60.97,110.47,4.61,0.29,75.22,19.36,70.78,12.81,158.05,141.8,6.9,0,6.87,5.09,2.96,2.94,16.24,3.69,3.74,22232,8751,14.08,13.63,20.06,1.41,12.73,0.3,0.78,1.014,11.45,0,4.39,5.57,1.26,27.05,8.85,10.28,4.36,1.87,0,2713
600456,小金属,2019Q3,20191018,20020412,4.3,0,0,81.57,36.72,3.23,51.03,55.53,21.58,1.32,37.85,20.77,16.38,23.71,32.05,26.19,2.31,0,2.3,1.98,1.7,1.59,6.91,-1.62,-1.26,30359,6655,16.71,75.67,24.37,2.94,-66.64,3.37,0.4,0.395,8.53,0,5.51,1.61,-0.38,45.02,4.63,18.31,7.22,5.31,0.59,3518
603637,建筑工程,2019Q3,20191018,20170208,1.74,0,0,10.66,7.56,0,29.11,9.39,0.58,0.29,3.01,0.79,1.32,2.6,6.08,5.48,0.43,0.01,0.43,0.38,0.38,0.35,2.37,2.28,-0.47,6232,5334,8.68,-4.08,57.41,3.75,12.43,4.67,1.54,0.219,4.34,0,1.49,1.36,1.31,70.89,5.05,9.75,7.03,6.29,0.13,340
600812,化学制药,2019Q3,20191018,19940114,16.31,0,0,184.59,54.97,0.65,69.87,77.55,79.2,3.79,104.04,20.11,13.77,34.91,80.26,47.32,1.39,0.33,1.35,0.87,0.92,0.61,1.3,5.98,0.72,96021,8040,7.41,18.98,13.36,2.74,25.16,1.87,0.32,0.056,3.37,0,2.14,0.08,0.37,29.78,1.67,41.04,1.74,1.14,0.62,10909
000819,石油加工,2019Q3,20191018,19970625,2.85,0,0,9.75,8,0.24,15.45,7.37,1.51,0.27,1.45,0.49,0.21,0.7,12.65,11.27,0.65,0.03,0.65,0.48,0.48,0.48,2.78,0.62,0.62,29843,5871,4.76,15.64,-14.41,2.89,37.33,1.83,0.23,0.169,2.81,0,0.25,0.98,0.22,82.14,6.02,10.87,5.11,3.81,0.04,665
600519,白酒,2019Q3,20191018,20010827,12.56,0,0,1625.5,1252.58,55.64,19.52,1399.49,148.15,34.46,316.79,237.55,0,13.75,609.35,51.86,433.12,0,432.06,324.12,304.55,305.34,1054.38,273.15,59.87,89062,5048,531.49,23.13,16.64,10.56,48.42,21.7,1.35,24.244,99.71,0,1.09,83.93,21.74,77.06,24.31,91.49,71.08,49.98,0.65,26568
601366,百货,2019Q3,20191018,20170412,8.61,0,0,116.41,46.13,0.05,60.33,38.29,52.23,11.25,63.29,18.47,2.16,17.66,93.99,71.93,3.05,0.01,3.49,2.15,2.15,1.71,16.36,3.43,-12.26,48803,9734,5.43,-27.52,13.29,1.04,14.02,0.51,3.5,0.25,5.36,0,2.05,1.9,0.4,39.62,4.67,23.47,3.24,2.29,0,10234
